City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
chulumani,-16.41,-67.53,56.19,67,30,1.81,BO,1596434121
yulara,-25.24,130.99,80.6,6,0,12.75,AU,1596434121
avarua,-21.21,-159.78,68.0,72,20,5.82,CK,1596433941
kahului,20.89,-156.47,80.6,61,40,14.99,US,1596434121
mar del plata,43.4,-4.01,64.99,88,40,4.7,ES,1596434121
carnarvon,-24.87,113.63,66.2,72,90,11.41,AU,1596434121
barrow,71.29,-156.79,33.8,86,90,11.41,US,1596434121
masalli,34.8,126.66,86.0,79,75,16.11,KR,1596434121
lewistown,40.6,-77.57,71.6,73,40,5.82,US,1596434121
kapaa,22.08,-159.32,80.6,74,40,16.11,US,1596434122
ouegoa,-20.35,164.43,69.51,65,26,2.46,NC,1596434122
kalmunai,7.42,81.82,90.43,52,100,8.01,LK,1596434122
bhindar,24.5,74.18,87.21,67,100,11.1,IN,1596434122
chapais,49.78,-74.85,60.8,100,90,9.17,CA,1596434122
padang,-0.95,100.35,85.14,62,95,5.79,ID,1596434122
cherskiy,68.75,161.3,52.39,85,99,6.49,RU,1596434122
yarmouth,41.71,-70.23,79.0,88,90,11.41,US,1596434015
rikitea,-23.12,-134.97,72.95,82,100,17.69,PF,1596434122
townsville,-19.25,146.8,73.99,69,20,14.99,AU,1596434122
castro,-24.79,-50.01,47.62,97,2,3.09,BR,1596434122
portland,45.52,-122.68,72.0,49,75,9.17,US,1596433745
clyde,41.3,-82.98,66.0,95,2,3.0,US,1596434123
aklavik,68.22,-135.01,55.4,87,90,4.7,CA,1596434123
sirjan,29.45,55.68,91.58,17,0,2.64,IR,1596434123
flinders,-34.58,150.86,66.0,39,100,5.01,AU,1596434123
luderitz,-26.65,15.16,60.8,31,0,2.24,NA,1596434123
nekrasovskiy,56.07,37.5,62.6,72,60,6.71,RU,1596434123
chumikan,54.72,135.31,57.58,73,69,14.99,RU,1596434123
tasiilaq,65.61,-37.64,44.6,81,98,2.24,GL,1596434123
ziro,27.63,93.83,80.82,60,26,3.06,IN,1596434123
huaraz,-9.53,-77.53,48.87,49,0,6.46,PE,1596434124
kodiak,57.79,-152.41,62.6,63,75,8.05,US,1596434124
mersin,36.86,34.65,84.2,83,40,3.36,TR,1596434124
hermanus,-34.42,19.23,57.27,71,2,11.45,ZA,1596434124
airai,-8.93,125.41,71.13,56,35,3.22,TL,1596434124
yerbogachen,61.28,108.01,76.95,38,0,7.72,RU,1596434124
wattegama,6.8,81.48,84.2,83,75,17.22,LK,1596433933
esperance,-33.87,121.9,57.2,93,75,18.34,AU,1596434113
tuktoyaktuk,69.45,-133.04,48.2,100,90,3.36,CA,1596434124
keti bandar,40.87,43.84,68.0,49,20,3.36,AM,1596434124
dikson,73.51,80.55,52.86,80,80,15.7,RU,1596434124
upernavik,72.79,-56.15,43.57,72,77,2.46,GL,1596434124
inta,66.03,60.17,57.97,94,69,11.12,RU,1596434125
masuguru,-11.37,38.42,73.78,62,16,6.22,TZ,1596434125
thompson,55.74,-97.86,55.4,87,20,2.26,CA,1596434125
butaritari,3.07,172.79,82.71,72,83,17.56,KI,1596434125
galesong,-5.32,119.37,89.6,49,20,11.41,ID,1596434125
jega,12.22,4.38,74.82,88,100,10.29,NG,1596434125
teguise,29.06,-13.56,73.4,83,0,19.46,ES,1596434125
ratnapura,6.68,80.4,80.96,76,100,6.85,LK,1596434125
atuona,-9.8,-139.03,78.73,74,8,17.02,PF,1596434125
deputatskiy,69.3,139.9,56.41,58,64,8.81,RU,1596434126
praia,14.92,-23.51,78.8,78,20,4.7,CV,1596434126
bengkulu,-3.8,102.27,82.31,79,48,8.32,ID,1596434126
ribeira grande,42.75,-8.44,57.99,93,90,3.36,ES,1596434126
kilrush,52.64,-9.48,55.4,82,75,6.93,IE,1596434126
hilo,19.73,-155.09,80.6,57,1,3.36,US,1596434126
chuy,-33.7,-53.46,58.26,94,68,3.78,UY,1596434126
lipari,38.47,14.95,82.99,59,0,5.73,IT,1596434126
port elizabeth,-7.03,29.76,73.2,51,81,16.51,CD,1596434126
avera,33.19,-82.53,78.8,94,1,3.36,US,1596434126
khatanga,71.97,102.5,68.31,62,100,5.99,RU,1596434126
east london,65.0,-15.0,46.4,100,90,6.93,IS,1596434127
chokurdakh,70.63,147.92,51.84,57,100,5.26,RU,1596434127
ilulissat,69.22,-51.1,41.0,80,14,3.36,GL,1596434127
nanyuki,0.02,37.07,60.91,59,8,13.09,KE,1596434127
mount isa,53.66,-1.85,54.0,93,61,5.53,GB,1596434127
saint-philippe,-21.36,55.77,69.8,64,90,18.34,RE,1596434127
hamilton,39.18,-84.53,70.0,93,1,3.38,US,1596433898
urumqi,43.8,87.6,84.0,34,70,6.71,CN,1596434127
faya,18.39,42.45,69.8,77,40,8.05,SA,1596434127
nome,64.5,-165.41,64.4,63,1,8.05,US,1596434059
carire,-3.95,-40.47,73.44,79,39,1.25,BR,1596434127
kaitangata,-46.28,169.85,46.99,86,63,2.66,NZ,1596434127
kichera,55.94,110.1,72.68,48,52,4.7,RU,1596434127
atar,20.52,-13.05,91.35,15,0,6.91,MR,1596434128
gravelbourg,49.88,-106.55,68.27,45,30,14.09,CA,1596434128
narsaq,60.92,-46.05,48.2,81,65,3.36,GL,1596434128
rocha,-34.48,-54.33,56.32,97,97,1.57,UY,1596434128
pevek,69.7,170.31,38.5,91,100,3.0,RU,1596434128
kutulik,53.35,102.78,69.04,71,93,11.97,RU,1596434128
touros,-5.2,-35.46,69.8,94,6,4.7,BR,1596434128
mahebourg,-20.41,57.7,69.8,64,75,17.22,MU,1596434128
olafsvik,64.89,-23.71,46.42,87,34,10.96,IS,1596434128
torbay,47.67,-52.73,59.0,100,20,11.41,CA,1596434128
tuatapere,-46.13,167.68,48.85,81,95,1.95,NZ,1596434129
ashland,40.82,-82.27,66.2,93,90,5.82,US,1596434129
arbagar,51.94,116.28,66.97,82,100,12.28,RU,1596434129
juneau,58.3,-134.42,59.0,93,90,3.36,US,1596434013
pidhorodne,48.58,35.11,64.4,72,0,6.71,UA,1596434129
khingansk,49.12,131.18,57.58,100,100,9.95,RU,1596434129
immokalee,26.42,-81.42,80.01,94,20,1.83,US,1596434129
ronneby,56.21,15.28,57.2,100,75,2.24,SE,1596434129
panormos,35.42,24.69,82.4,61,0,11.41,GR,1596434129
maragua,-0.78,37.13,55.4,87,90,4.7,KE,1596434129
pangai,-19.8,-174.35,77.0,88,75,6.93,TO,1596434129
half moon bay,6.38,-10.7,73.63,88,95,3.96,LR,1596434129
mayo,38.89,-76.51,80.6,78,1,3.36,US,1596434130
puerto leguizamo,36.59,-6.23,71.6,56,6,5.82,ES,1596434120
verkhoyansk,67.54,133.38,69.78,39,100,7.29,RU,1596434130
bogorodskoye,56.55,37.88,59.95,73,81,5.41,RU,1596434130
mys shmidta,62.06,48.62,52.09,86,98,7.38,RU,1596434130
katsuura,35.13,140.3,91.99,52,20,8.05,JP,1596434130
boralday,43.36,76.86,80.6,34,75,4.47,KZ,1596434130
calama,-22.47,-68.93,44.6,8,0,21.92,CL,1596433988
tual,-5.67,132.75,77.95,82,78,16.55,ID,1596434130
bisira,8.52,-81.71,59.45,98,100,3.49,PA,1596434130
oyem,1.6,11.58,67.03,91,100,3.65,GA,1596434130
longyearbyen,78.22,15.64,44.6,100,90,2.24,SJ,1596434130
amapa,1.0,-52.0,69.98,97,26,1.43,BR,1596434131
victoria,22.29,114.16,79.0,96,100,5.99,HK,1596434131
redcar,54.62,-1.06,55.0,88,94,6.93,GB,1596434131
port macquarie,-7.03,29.76,73.2,51,81,16.51,CD,1596434118
sao felix do xingu,20.51,76.21,84.16,71,100,9.98,IN,1596434131
saskylakh,71.92,114.08,76.68,42,36,5.1,RU,1596434131
nouadhibou,20.93,-17.03,71.6,88,0,21.92,MR,1596434131
kavieng,-2.57,150.8,84.78,73,71,8.59,PG,1596434131
tarakan,3.3,117.63,83.43,70,7,7.29,ID,1596433848
bonavista,48.65,-53.11,54.0,73,28,1.01,CA,1596434131
zaraysk,54.77,38.88,59.0,88,30,1.01,RU,1596434131
grand gaube,38.88,-109.5,82.4,13,1,2.24,US,1596434131
bellview,30.46,-87.31,81.0,78,1,4.7,US,1596434132
sitka,57.05,-135.33,57.2,87,90,1.41,US,1596433863
puerto escondido,36.59,-6.23,71.6,56,6,5.82,ES,1596434132
anadyr,64.75,177.48,57.2,67,75,8.95,RU,1596434132
baruun-urt,46.68,113.28,68.09,65,88,14.14,MN,1596434132
rawlins,41.79,-107.24,73.4,27,40,24.16,US,1596434132
basco,20.45,121.97,84.33,76,99,15.86,PH,1596434132
karsava,56.78,27.69,61.05,77,45,7.27,LV,1596434132
leningradskiy,69.38,178.42,39.18,90,100,9.06,RU,1596434132
lodja,-3.48,23.43,78.46,56,43,1.1,CD,1596434132
mountain home,13.37,-81.37,83.37,82,100,15.7,CO,1596434132
haines junction,59.23,-135.44,60.8,82,90,3.36,US,1596434132
pasighat,28.07,95.33,94.26,54,1,5.17,IN,1596434133
mubi,10.27,13.26,69.55,96,100,3.83,NG,1596434133
tecpan,14.76,-90.99,68.0,88,40,11.41,GT,1596434133
san quintin,13.3,-4.9,77.23,80,94,10.04,ML,1596434054
vardo,70.37,31.11,51.8,81,75,9.17,NO,1596434133
sungaipenuh,-2.08,101.38,79.3,61,92,3.24,ID,1596434058
westport,41.14,-73.36,80.6,83,1,6.93,US,1596433924
san cristobal,13.3,-4.9,77.23,80,94,10.04,ML,1596434054
labuhan,-6.88,112.21,85.48,57,37,7.99,ID,1596434133
batsfjord,70.63,29.72,48.2,93,75,12.75,NO,1596434133
teguldet,57.31,88.17,79.23,41,34,5.84,RU,1596434133
coahuayana,18.73,-103.68,79.7,86,96,0.67,MX,1596434134
nikolskoye,59.7,30.79,60.8,82,40,4.47,RU,1596434134
dunedin,-45.87,170.5,48.99,89,82,5.99,NZ,1596434134
hofn,64.25,-15.21,50.97,91,97,1.95,IS,1596434134
richards bay,46.84,-95.91,48.99,94,0,5.01,US,1596434134
les cayes,42.81,0.71,59.0,83,97,5.99,ES,1596434134
severo-kurilsk,50.68,156.12,58.05,88,98,11.43,RU,1596434134
vaitape,-16.52,-151.75,79.36,75,40,9.98,PF,1596434134
liverpool,53.41,-2.98,57.99,87,20,8.05,GB,1596434121
college,64.86,-147.8,62.6,63,75,5.82,US,1596434134
brownsburg,39.84,-86.4,69.8,77,75,5.17,US,1596434134
guerrero negro,17.67,-100.0,69.58,78,100,3.65,MX,1596434134
zolotkovo,55.53,41.11,62.19,66,0,4.0,RU,1596434135
samarai,-10.62,150.67,77.74,85,91,15.03,PG,1596434135
sagauli,26.78,84.73,96.91,49,77,3.56,IN,1596434135
mapiripan,2.89,-72.13,72.66,87,57,2.82,CO,1596434135
san cosme y damian,13.3,-4.9,77.23,80,94,10.04,ML,1596434054
salalah,17.02,54.09,84.2,79,20,5.82,OM,1596434120
beringovskiy,63.05,179.32,48.83,67,98,8.79,RU,1596434135
srednekolymsk,67.45,153.68,65.57,47,66,9.48,RU,1596434135
manaus,-3.1,-60.02,78.8,74,32,2.24,BR,1596434135
tommot,58.96,126.29,72.7,46,84,8.84,RU,1596434135
talnakh,69.49,88.4,68.0,60,40,8.95,RU,1596434136
trondheim,63.43,10.4,55.0,92,99,1.99,NO,1596434136
uetze,52.47,10.2,55.99,87,75,3.36,DE,1596434136
nyurba,63.28,118.33,76.82,35,2,4.76,RU,1596434136
kabinda,-6.13,24.48,74.48,27,25,10.25,CD,1596434136
cuenca,-2.88,-78.98,53.6,76,59,2.24,EC,1596434136
itoman,26.12,127.67,91.4,66,75,21.92,JP,1596434136
mosquera,4.71,-74.23,55.4,71,75,4.7,CO,1596434136
tiksi,71.69,128.87,48.56,73,21,8.23,RU,1596434136
hovd,48.01,91.64,64.8,41,34,6.04,MN,1596434136
lagoa,39.05,-27.98,71.15,77,1,5.17,PT,1596434136
komsomolskiy,40.43,71.72,87.8,25,0,11.41,UZ,1596434136
matay,28.42,30.78,84.45,51,0,6.76,EG,1596434136
bredasdorp,-34.53,20.04,46.4,100,0,5.82,ZA,1596434137
tefe,-3.35,-64.71,74.01,65,28,0.43,BR,1596434137
port hedland,-7.03,29.76,73.2,51,81,16.51,CD,1596434118
chekmagush,55.13,54.66,65.35,77,84,6.31,RU,1596434137
cesena,44.14,12.24,75.0,94,20,6.93,IT,1596434137
coihaique,-45.58,-72.07,37.4,93,99,5.82,CL,1596434137
bambous virieux,-20.26,57.41,72.0,64,75,17.22,MU,1596434137
semey,50.41,80.23,82.4,32,0,15.66,KZ,1596434137
agucadoura,41.43,-8.78,60.01,93,99,3.36,PT,1596434137
homer,59.64,-151.55,59.0,87,90,5.82,US,1596434137
vidor,30.13,-94.02,78.8,88,1,2.51,US,1596434137
muscat,23.61,58.59,95.0,47,40,4.7,OM,1596433988
tromso,69.65,18.96,53.6,76,1,6.93,NO,1596434138
svobodnyy,51.4,128.13,74.88,80,100,11.86,RU,1596434138
taltal,-25.4,-70.48,54.72,72,28,2.68,CL,1596434138
pangnirtung,66.15,-65.71,48.47,75,70,2.35,CA,1596434138
raga,8.46,25.68,70.68,94,100,2.82,SS,1596434138
ugoofaaru,5.67,73.0,82.35,80,99,14.65,MV,1596434138
maputo,-25.97,32.59,62.01,80,1,4.0,MZ,1596434138
lerwick,60.15,-1.15,51.8,93,20,13.87,GB,1596434138
suntar,62.14,117.63,79.72,34,0,6.49,RU,1596434138
port-gentil,-0.72,8.78,75.2,83,40,8.84,GA,1596434138
tianjin,39.14,117.18,91.4,70,40,6.71,CN,1596433956
dafeng,23.45,108.59,87.28,67,90,4.74,CN,1596434139
kapit,2.02,112.93,97.29,41,52,0.92,MY,1596434139
vila franca do campo,42.03,-8.16,55.99,89,90,1.01,PT,1596434139
virginia beach,37.55,-77.45,79.0,83,40,6.93,US,1596434139
sao filipe,20.51,76.21,84.16,71,100,9.98,IN,1596434139
orebro,59.27,15.21,59.0,77,75,12.75,SE,1596434139
tapes,-30.67,-51.4,60.78,87,0,3.38,BR,1596434139
goderich,43.75,-81.72,66.99,93,41,10.13,CA,1596434139
baykit,61.67,96.37,78.91,35,15,3.96,RU,1596434139
colares,38.8,-9.45,66.0,88,64,26.8,PT,1596434140
bronnoysund,65.46,12.2,59.0,93,75,3.36,NO,1596434140
biloela,-24.42,150.5,67.28,46,73,2.73,AU,1596434140
panaba,21.28,-88.27,76.48,94,90,5.08,MX,1596434140
inirida,3.87,-67.92,72.01,96,7,1.54,CO,1596434140
leh,34.17,77.58,67.6,25,2,6.17,IN,1596434140
varzea da palma,39.52,-8.33,63.0,81,92,5.99,PT,1596434140
dingle,11.0,122.67,89.06,63,82,5.84,PH,1596434140
sterling,39.01,-77.43,78.01,69,90,3.98,US,1596434140
mocuba,-16.84,36.99,66.06,87,100,3.85,MZ,1596434141
koulamoutou,-1.13,12.47,70.79,79,78,3.0,GA,1596434141
tilichiki,60.47,166.1,57.83,73,61,8.28,RU,1596434141
new norfolk,6.65,-10.59,71.01,96,98,1.52,LR,1596434141
hervey bay,33.5,-93.78,69.8,94,1,4.52,US,1596434141
bonthe,7.53,-12.51,74.97,86,86,6.93,SL,1596434141
byron bay,44.03,-92.65,55.4,87,1,4.7,US,1596434141
grand island,38.88,-109.5,82.4,13,1,2.24,US,1596434141
ahipara,-35.17,173.17,57.15,86,17,6.96,NZ,1596434141
hualmay,-11.1,-77.61,58.24,85,40,7.72,PE,1596434141
murgab,37.5,61.97,87.8,31,0,4.7,TM,1596434141
cam ranh,-38.98,-67.82,48.2,66,87,6.93,AR,1596434141
durango,24.83,-104.83,61.34,64,15,2.91,MX,1596433855
arawa,-6.21,155.54,84.34,70,3,4.27,PG,1596434142
brae,60.4,-1.35,51.8,93,20,13.87,GB,1596434142
forbes,-33.38,148.02,62.01,50,100,4.29,AU,1596434142
hasaki,35.73,140.83,97.0,70,20,11.41,JP,1596434142
provideniya,64.38,-173.3,50.0,71,75,8.95,RU,1596434142
caravelas,-17.71,-39.25,68.23,85,8,7.67,BR,1596434142
mitu,1.2,-70.17,72.12,84,69,1.3,CO,1596434142
tabuk,17.42,121.44,88.3,64,99,3.24,PH,1596434142
mahajanga,-15.72,46.32,75.2,44,0,16.11,MG,1596434142
mishkino,55.34,63.92,81.46,53,78,11.72,RU,1596434142
innisfail,-17.53,146.03,66.0,81,94,4.0,AU,1596434142
tucupita,9.06,-62.05,73.53,98,99,2.95,VE,1596434143
murud,18.33,72.97,80.73,88,99,14.03,IN,1596434143
cairns,-16.92,145.77,73.4,69,90,13.87,AU,1596434083
ngunguru,-35.62,174.5,57.0,3,86,1.99,NZ,1596434143
port lincoln,-7.03,29.76,73.2,51,81,16.51,CD,1596434126
san patricio,13.3,-4.9,77.23,80,94,10.04,ML,1596434069
port hardy,-7.03,29.76,73.2,51,81,16.51,CD,1596434118
saint-pierre,-21.34,55.48,69.8,64,90,18.34,RE,1596434143
kousseri,12.08,15.03,73.4,94,20,8.05,CM,1596434143
kirakira,-10.45,161.92,82.49,80,20,8.32,SB,1596434143
pulandian,39.4,121.97,86.0,79,40,8.95,CN,1596434143
awjilah,29.11,21.29,79.11,71,0,9.84,LY,1596434143
bousso,10.48,16.71,72.45,94,100,7.16,TD,1596434144
eucaliptus,-17.58,-67.52,42.8,61,28,3.58,BO,1596434144
zharkent,44.16,80.0,86.9,25,29,3.85,KZ,1596434144
nang rong,29.05,93.07,75.27,35,76,2.98,CN,1596434144
isangel,-19.55,169.27,69.84,65,2,10.51,VU,1596434144
otradnoye,59.78,30.82,60.8,82,40,4.47,RU,1596434144
yara,20.28,-76.95,77.36,89,100,2.01,CU,1596434144
pirawa,24.16,76.03,90.39,61,91,13.2,IN,1596434144
faanui,-16.48,-151.75,78.49,77,41,10.07,PF,1596434144
korla,41.76,86.15,91.87,15,49,3.96,CN,1596434144
riyadh,24.69,46.72,98.6,16,3,10.29,SA,1596433987
sao joao da barra,20.51,76.21,84.16,71,100,9.98,IN,1596434144
fort saint james,52.65,6.39,57.0,97,88,1.99,NL,1596434145
ulladulla,-35.35,150.47,68.0,30,100,17.22,AU,1596434145
oktyabrskoye,43.06,44.74,64.4,82,100,6.71,RU,1596434145
tessalit,20.2,1.01,84.36,51,77,27.11,ML,1596434145
albion,42.24,-84.75,66.2,93,75,5.61,US,1596434145
pacific grove,38.48,-90.74,69.01,94,23,5.19,US,1596434145
vestmannaeyjar,63.44,-20.27,50.16,87,35,16.22,IS,1596434145
yumen,40.28,97.2,87.78,12,71,17.52,CN,1596434145
rundu,-17.93,19.77,49.24,48,0,5.06,NA,1596434145
charlestown,-32.95,151.67,68.0,42,98,7.0,AU,1596434145
mitsamiouli,-11.38,43.28,80.6,61,20,3.36,KM,1596434145
pontes e lacerda,-4.83,-43.37,82.4,54,74,4.7,BR,1596434145
carutapera,-1.2,-46.02,74.68,92,4,4.14,BR,1596434145
petropavlovsk-kamchatskiy,53.05,158.65,53.6,100,90,13.42,RU,1596434146
muros,42.78,-9.06,57.99,88,96,1.01,ES,1596434146
shimoda,34.67,138.95,84.2,70,20,6.93,JP,1596434146
launceston,-41.45,147.17,48.99,51,40,12.75,AU,1596433925
fare,-16.7,-151.02,79.09,76,56,8.59,PF,1596434146
ampanihy,-24.7,44.75,65.05,53,0,13.69,MG,1596434146
nsukka,6.86,7.39,77.0,83,75,9.17,NG,1596434146
haibara,34.53,135.95,93.0,66,75,10.29,JP,1596434146
koltsovo,54.94,83.18,80.6,42,0,13.42,RU,1596434146
centralia,46.72,-122.95,64.99,72,1,3.36,US,1596434146
harper,4.38,-7.72,72.25,78,93,2.33,LR,1596434146
alofi,-19.06,-169.92,75.2,88,100,5.82,NU,1596434146
thinadhoo,0.53,72.93,83.41,75,100,10.29,MV,1596434147
ponta do sol,38.73,-28.27,68.23,82,0,4.94,PT,1596434147
tshikapa,-6.42,20.8,78.35,36,63,7.36,CD,1596434147
albania,41.0,20.0,77.0,61,0,1.12,AL,1596434147
yinchuan,38.47,106.27,95.49,12,7,8.08,CN,1596434147
tazovskiy,67.47,78.7,65.46,65,61,13.35,RU,1596434147
mount gambier,53.66,-1.85,54.0,93,61,5.53,GB,1596433995
jojoima,7.88,-10.79,70.43,97,100,1.45,SL,1596434147
acapulco,16.86,-99.89,81.28,80,100,5.1,MX,1596434053
vicuna,-30.03,-70.71,46.99,23,0,2.13,CL,1596434147
zambezi,-13.54,23.1,54.28,48,38,9.51,ZM,1596434147
visby,57.64,18.3,64.99,82,44,9.17,SE,1596434147
aksehir,38.36,31.42,69.67,54,0,6.55,TR,1596434147
nyimba,-14.56,30.81,62.83,68,29,4.94,ZM,1596434148
nishihara,26.18,127.76,91.4,66,75,21.92,JP,1596434148
lincoln,40.8,-96.67,64.4,72,1,8.05,US,1596433876
breytovo,58.3,37.86,61.02,67,54,4.81,RU,1596434148
gobo,33.88,135.15,89.6,83,75,6.93,JP,1596434148
gombe,10.29,11.17,70.41,93,100,14.2,NG,1596434148
sangar,63.92,127.47,75.45,35,45,5.68,RU,1596434148
gari,59.43,62.35,66.78,77,100,7.31,RU,1596434148
ballina,-28.87,153.57,73.0,56,40,10.29,AU,1596434148
valparaiso,-33.04,-71.63,53.01,79,3,8.21,CL,1596434006
gallup,35.53,-108.74,71.6,40,1,11.41,US,1596434148
anda,46.4,125.32,91.99,47,56,12.84,CN,1596434148
truro,50.27,-5.05,57.2,93,24,6.93,GB,1596434149
ayan,56.45,138.17,58.96,70,71,13.42,RU,1596434149
barabai,-2.58,115.38,79.41,90,94,2.04,ID,1596434149
amos,48.57,-78.12,53.6,100,90,12.75,CA,1596434149
mindelo,16.89,-24.98,78.8,83,20,14.99,CV,1596434149
flagstaff,35.2,-111.65,75.99,40,1,8.05,US,1596434078
nurota,40.56,65.69,93.2,17,0,4.7,UZ,1596434149
ardabil,38.25,48.29,64.4,93,75,11.41,IR,1596433920
casa grande,13.34,-85.37,72.18,95,99,0.89,NI,1596434150
khani,41.96,42.96,71.6,78,75,3.36,GE,1596434150
gandorhun,7.5,-11.83,70.34,97,97,1.16,SL,1596434150
neepawa,50.23,-99.47,57.2,82,20,5.82,CA,1596434150
mozarlandia,-14.74,-50.57,69.4,44,0,7.02,BR,1596434150
caxito,-8.58,13.66,71.6,83,88,6.93,AO,1596434150
ormara,25.21,64.64,85.68,81,33,17.09,PK,1596434150
pisco,-13.7,-76.22,57.2,87,75,3.36,PE,1596434151
nova olimpia,-5.53,-46.7,73.24,71,43,3.49,BR,1596434151
springbok,-29.66,17.89,52.14,41,0,2.39,ZA,1596434151
alyangula,-13.85,136.42,84.2,37,44,10.29,AU,1596434151
chhatarpur,24.9,79.6,92.77,58,33,9.13,IN,1596434151
paamiut,61.99,-49.67,44.62,95,100,4.94,GL,1596434151
hay river,52.07,-3.13,52.0,77,1,2.89,GB,1596434151
valdivia,-39.81,-73.25,46.4,100,20,2.24,CL,1596434151
abha,18.22,42.51,69.8,77,40,8.05,SA,1596434020
wenatchee,47.42,-120.31,77.0,31,15,16.11,US,1596434152
katobu,-4.94,122.53,81.09,79,74,2.44,ID,1596434152
abadan,30.34,48.3,102.2,29,0,4.7,IR,1596434152
yilan,24.76,121.75,84.0,99,100,4.9,TW,1596434152
baraboo,43.47,-89.74,61.0,82,90,5.82,US,1596434152
cuilco,15.4,-91.97,67.64,74,58,2.15,GT,1596434152
zacualpan,21.25,-105.17,84.2,74,90,3.36,MX,1596434152
vieux-habitants,16.06,-61.77,80.6,83,6,4.7,GP,1596434152
rupert,42.62,-113.68,73.4,53,1,5.7,US,1596434152
baherden,38.44,57.43,96.37,12,0,9.31,TM,1596434153
shitanjing,39.23,106.34,87.17,13,6,8.99,CN,1596434153
altay,47.87,88.12,82.54,21,18,6.93,CN,1596434153
santiago,-33.46,-70.65,48.2,76,1,1.12,CL,1596433856
vestmanna,62.16,-7.17,48.2,100,100,9.17,FO,1596434153
mtwara,-10.27,40.18,69.8,88,75,11.41,TZ,1596434153
palora,-1.7,-77.93,62.1,92,65,2.68,EC,1596434153
